Policy: 
state -> action, value-function
1:1:0:0:1:0:1:0 -> PS, 44.3605070537
1:0:0:1:0:0:1:0 -> WE, 50.6458395416
0:1:0:0:1:1:1:0 -> WE, 43.3761776172
0:0:1:1:0:1:0:0 -> PS, 47.5490591763
1:1:0:1:0:1:0:1 -> WE, 49.9910257267
0:0:1:0:0:1:0:0 -> PS, 64.6395847942
0:1:0:1:0:0:0:0 -> WE, 45.9034057318
0:1:1:1:1:1:1:1 -> WE, 49.0134833578
0:1:1:1:1:1:1:0 -> PS, 52.70759737
0:0:0:1:1:1:1:1 -> WE, 43.3761776172
0:0:0:1:1:1:1:0 -> WE, 43.3761776172
0:1:1:1:0:1:0:1 -> PS, 47.2196989944
1:0:1:1:1:0:0:0 -> PS, 101.814903305
1:0:1:0:1:1:1:1 -> PS, 44.5265156572
1:1:0:1:0:1:0:0 -> WE, 48.2746226367
1:0:1:1:1:0:1:0 -> WE, 46.4253962824
1:0:0:1:0:1:1:0 -> WE, 49.0650282717
1:1:1:0:0:1:0:1 -> PS, 60.681087711
0:1:0:1:0:1:1:1 -> WE, 45.9831529587
0:0:0:1:1:0:0:0 -> WE, 43.267110799
0:1:0:0:0:0:0:0 -> PS, 50.6364547762
0:1:0:0:0:1:0:0 -> WE, 47.2800338778
0:0:1:0:0:1:0:1 -> PS, 65.1052832267
1:1:1:0:1:1:0:1 -> PS, 44.4435113555
1:0:1:1:0:1:1:0 -> PS, 20.4625590275
0:1:0:1:1:0:0:1 -> WE, 0.0
