reward,cumul_SystemInfoHintCount,cumul_NextStepClickCountWE,deletedApp,ruleScoreABS,CurrPro_NumProbRule,avgstepTimePS,cumul_F1Score,session
0,0,5,0,0.01,4,17.41254167,0.208092486,6
15.827674023769,0,5,0,0.01,4,12.11,0.238341969,6
0,0,9,0,0.011597411,4,5.730519118,0.268913966,6
0,0,9,0,0.01,6,23.40622222,0.19047619,6
0,0,9,0,0.01,6,10.12583333,0.144578313,6
0,0,9,0,0.01,4,9.463333333,0.234234234,6
0,0,9,0,0.011597411,4,16.89125,0.226086957,6
0,0,9,0,0.011597411,4,20.571,0.208,7
0,0,9,0,0.011597411,4,5.987666667,0.2,7
0,0,9,0,0.01,4,8.0862,0.195804196,7
0,0,9,0,0.011597411,4,30.6645,0.19047619,7
0,0,9,0,0.01,4,14.93729412,0.205714286,7
0,0,9,0,0.01,4,8.891,0.210526316,9
0,0,9,0,0.01,4,11.21211111,0.236966825,9
-8.6139666784828,0,9,0,0.01,4,7.823941176,0.253275109,9
0,0,0,0,0.01,4,7.831190476,0.5,9
0,0,8,0,0.011597411,5,5.730519118,0.387096774,9
0,0,8,0,0.01,5,10.29375,0.36,9
0,0,8,0,0.01,4,10.10936364,0.34375,9
0,0,8,0,0.011340922,4,7.668897959,0.339285714,10
-20.8791208791208,0,8,0,0.011340922,2,9.521463415,0.383561644,10
0,0,7,0,0.011597411,5,5.730519118,0.268913966,11
0,0,7,0,0.011340922,6,6.174,0.372093023,11
0,0,7,0,0.011340922,5,14.75969231,0.372881356,11
0,0,7,0,0.011340922,4,4.352631579,0.384615385,11
0,0,7,0,0.011340922,7,17.3005,0.372093023,11
0,0,7,0,0.011597411,7,30.478,0.347826087,11
0,0,7,0,0.011340922,7,9.785166667,0.317757009,11
0,0,7,4,0.011340922,7,11.41867593,0.303571429,11
46.4285714285714,0,7,0,0.011340922,7,10.97072727,0.331983806,12
0,0,0,0,0.011340922,6,8.919364865,0.417910448,12
0,0,2,0,0.011597411,5,5.730519118,0.383561644,12
78.2710280373832,0,2,0,0.011340922,8,6.711717391,0.422764228,12
0,0,6,0,0.011597411,3,5.730519118,0.268913966,1
0,2,6,0,0.01,3,10.72528571,0.25,1
0,2,6,0,0.01,4,9.861433333,0.275,1
40.7894736842106,2,6,0,0.01,4,6.2292,0.3125,1
0,0,0,0,0.01,4,7.240666667,0.48,1
0,0,6,0,0.011597411,4,5.730519118,0.413793103,1
26.9416187527642,0,6,0,0.01,4,7.290352941,0.425531915,1
0,0,0,1,0.01,4,8.15025,0.5,1
0,0,9,0,0.011597411,6,0.001,0.375,1
22.754344456229,0,9,0,0.01,6,8.2586,0.415584416,1
0,0,0,0,0.01,4,9.841653846,0.5,1
0,0,7,0,0.011597411,5,5.730519118,0.411764706,2
-69.2354368932038,0,7,0,0.01,5,9.551258427,0.393442623,2
0,0,0,0,0.01,5,12.09487179,0.293333333,3
0,0,10,0,0.011597411,6,5.730519118,0.265060241,3
-67.8528708133972,0,10,0,0.011522626,5,7.215479263,0.283524904,3
0,0,0,0,0.011522626,6,6.9028,0.133333333,5
0,0,2,0,0.011597411,5,5.730519118,0.111111111,5
67.9112820283504,0,2,0,0.011522626,8,5.730519118,0.268913966,5
0,2,7,0,0.011597411,3,5.730519118,0.268913966,1
0,2,11,0,0.011597411,3,5.730519118,0.268913966,2
0,2,11,0,0.01,4,15.3062125,0.243902439,2
40.7894736842106,2,11,0,0.01,4,10.5825625,0.282828283,2
0,0,0,3,0.011522626,4,13.9248494,0.301369863,2
0,0,6,0,0.011597411,4,5.730519118,0.293333333,2
-96.5877930119416,0,6,8,0.011522626,4,12.48003158,0.332326284,2
0,0,9,0,0.011597411,4,5.730519118,0.268913966,2
0,0,9,0,0.011522626,6,7.020941176,0.425531915,2
146.283756220935,0,9,0,0.011522626,6,5.251037037,0.435897436,2
0,0,8,0,0.011597411,4,5.730519118,0.268913966,2
0,0,8,2,0.011522626,5,9.630172973,0.279329609,2
0,0,8,0,0.011522626,5,7.093457627,0.325,2
-1.37829403606099,0,8,0,0.011522626,5,4.261371429,0.345323741,2
0,0,0,4,0.011522626,5,5.519245614,0.36,2
0,0,10,0,0.011597411,6,5.730519118,0.310344828,2
-94.5616883116882,0,10,1,0.011522626,5,6.868320988,0.314285714,2
0,0,0,2,0.011522626,6,6.628860465,0.337662338,2
0,0,2,0,0.011597411,5,5.730519118,0.313253012,2
50.127442650807,0,2,1,0.011522626,8,6.663132353,0.426666667,2
0,0,5,0,0.011597411,3,5.730519118,0.268913966,1
0,0,5,0,0.01,3,6.54609434,0.324324324,1
0,0,5,0,0.01,4,8.244241379,0.350877193,2
1.9736842105264,2,5,0,0.01,4,3.451403226,0.341463415,2
0,0,8,0,0.011597411,4,5.730519118,0.268913966,2
0,0,13,0,0.011597411,4,5.730519118,0.268913966,2
